conference_journal,conference_topic,extracted_concept
adapted curriculum,Special education curriculum special ed reading special ed math curriculum adapt,special education
adapted curriculum,Special education curriculum special ed reading special ed math curriculum adapt,reading education
adapted curriculum,Elementary adapted physical education lesson plans- 1 yr curriculum,physical education
adapted curriculum,Who lives in trees? adapted book tree study curriculum creative,ecology
adapted curriculum,Marathon runner daily lesson plans (adapted from the new visions curriculum)ngss,exercise physiology
adapted curriculum,Marathon runner daily lesson plans (adapted from the new visions curriculum)ngss,physical education
adapted curriculum,Buildings adapted book bundle buildings study curriculum creative,building science
adapted curriculum,Buildings adapted book bundle buildings study curriculum creative,architecture
adapted curriculum,Music for everyone: adapting a music curriculum for young children with autism,special education
adapted curriculum,Music for everyone: adapting a music curriculum for young children with autism,music education
adapted curriculum,Music for everyone: adapting a music curriculum for young children with autism,autism studies
adapted curriculum,What do pet's eat? adapted book pet study curriculum creative,veterinary science
adapted curriculum,What do pet's eat? adapted book pet study curriculum creative,animal nutrition
adapted curriculum,Integrated technology,integrated technology
adapted curriculum,"High-quality, differentiated literature",literature
exceptional children,Instructional planning,educational planning
exceptional children,Literacy instruction,literacy education
exceptional children,professional collaboration,special education
exceptional children,professional collaboration,collaborative practices
adaptive memory,Semantic memory,semantic memory
adaptive radiotherapy,Trials of the use of adaptive radiotherapy that evaluate online adaptation and motion management,radiotherapy
adaptive radiotherapy,Trials of the use of adaptive radiotherapy that evaluate online adaptation and motion management,medical physics
treatment verification,Towards a consensus on pre treatment verification in particle therapy,particle therapy
treatment verification,Quality assurance for online adaptive radiotherapy,quality assurance
treatment verification,Pre-meeting survey on the current status of pre-treatment qa,quality assurance
adolescent behavioral health,Substance use disorders,substance use disorders
adolescent behavioral health,Mental health,mental health
clinical geropsychology,Mental health,mental health
clinical geropsychology,Anxiety disorder,anxiety disorders
clinical geropsychology,Bipolar disorder,bipolar disorder
substance use,Mental health,mental health
substance use,Global health,global health
substance use,Criminal justice,criminal justice
substance use,Alcohol,alcohol studies
substance use,Cannabis (marijuana),cannabis
substance use,Cocaine,cocaine
substance use,Fentanyl,fentanyl
substance use,Heroin,heroin
substance use,Inhalants,substance use
substance use,Ketamine,substance use
substance use,Kratom,substance use
substance use,Methamphetamine,substance use
substance use,Mdma (ecstasy/molly),substance use
substance use,Over-the-counter medicines,pharmacology
substance use,Over-the-counter medicines,over-the-counter drugs
substance use,Prescription medicines,prescription drugs
substance use,Prescription medicines,pharmacology
substance use,Psilocybin (magic mushrooms),psychedelic pharmacology
substance use,Psilocybin (magic mushrooms),mycology
substance use,Psychedelic and dissociative drugs as medicines,psychopharmacology
substance use,Psychedelic and dissociative drugs as medicines,psychedelic pharmacology
substance use,Psychedelic and dissociative drugs as medicines,dissociative pharmacology
substance use,Steroids (anabolic),anabolic steroids
substance use,Steroids (anabolic),endocrinology
substance use,Steroids (anabolic),pharmacology
substance use,Tobacco/nicotine and vaping,vaping
substance use,Addiction science,addiction science
substance use,Co-occurring disorders and health conditions,health conditions
substance use,Drug testing,drug testing
substance use,Drugs and the brain,neuroscience
substance use,Harm reduction,harm reduction
substance use,Hepatitis,hepatology
substance use,Medications for opioid use disorder,opioid use disorder
substance use,Medications for opioid use disorder,pharmacology
substance use,Overdose prevention centers,overdose prevention
substance use,Overdose reversal medications,overdose reversal
substance use,Overdose reversal medications,pharmacology
substance use,Recovery,substance use recovery
substance use,Syringe services programs,public health programs
substance use,Syringe services programs,harm reduction
substance use,Trauma and stress,stress
substance use,Trauma and stress,trauma
substance use,Treatment,substance use treatment
adolescent cardiovascular health,Body mass index,body mass index
adolescent cardiovascular health,Cardiovascular diseases,cardiovascular diseases
adolescent cardiovascular health,Metabolic syndrome,metabolic syndrome
adolescent cardiovascular health,Overweight,overweight
cardiometabolic risk,Body mass index,body mass index
cardiometabolic risk,Obesity,obesity
cardiometabolic risk,Cardiometabolic risk: bridging metabolic syndrome to global cvd risk assessment,cardiovascular disease risk assessment
cardiometabolic risk,Cardiometabolic risk: bridging metabolic syndrome to global cvd risk assessment,cardiometabolic risk
cardiometabolic risk,Cardiometabolic risk: bridging metabolic syndrome to global cvd risk assessment,metabolic syndrome
cardiometabolic risk,Polycystic ovary syndrome,polycystic ovary syndrome
cardiometabolic risk,Insulin resistance,insulin resistance
cardiometabolic risk,Dyslipidemia,lipid disorders
cardiometabolic risk,Adipose tissue,adipose tissue
cardiometabolic risk,Cardiovascular risk,cardiovascular diseases
cardiometabolic risk,Nonalcoholic fatty liver,nonalcoholic fatty liver disease
cardiometabolic risk,The impact of diabetes and cardiovascular disease (cvd) in women,women's health
cardiometabolic risk,The impact of diabetes and cardiovascular disease (cvd) in women,diabetes
cardiometabolic risk,The impact of diabetes and cardiovascular disease (cvd) in women,cardiovascular disease
metabolic signaling,Metabolic syndrome,metabolic syndrome
metabolic signaling,Skeletal muscle,muscle physiology
metabolic signaling,Skeletal muscle,skeletal muscle biology
metabolic signaling,Obesity,obesity research
metabolic signaling,Adipose tissue,adipose tissue biology
metabolic signaling,Transcription factor,molecular biology
metabolic signaling,Transcription factor,gene regulation
metabolic signaling,"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",mitochondrial biology
metabolic signaling,"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",apoptosis
metabolic signaling,"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",cell signaling
metabolic signaling,Gene expression,gene expression
metabolic signaling,Activated protein kinase,protein kinase
metabolic signaling,Phosphorylation,cell signaling
metabolic signaling,Phosphorylation,biochemistry
body composition,Overweight,obesity
body composition,Aerobic exercise,exercise science
body composition,Skeletal muscle,muscle physiology
body composition,Skeletal muscle,anatomy
body composition,Physical exercise,exercise science
body composition,Obesity,obesity
adolescent chronic illness,Adolescent self-management,adolescent health
adolescent chronic illness,Adolescent self-management,self-management
adolescent chronic illness,Tensions in transition,healthcare transition
adolescent chronic illness,Collaborative management,collaborative management
adolescent chronic illness,Healthcare transition,healthcare transition
adolescent cognition,Structural brain development,structural neuroscience
adolescent cognition,Structural brain development,brain development
adolescent cognition,Social cognitive development,social cognition
adolescent cognition,Social cognitive development,cognitive development
adolescent cognition,Development of cognitive control,cognitive development
adolescent cognition,Development of cognitive control,cognitive control
adolescent cognition,Emotional regulation,emotional regulation
adolescent cognition,Value-based learning and decision-making,decision-making
adolescent cognition,Value-based learning and decision-making,value-based learning
adolescent cognition,"“no more a child, not yet an adult”: studying social cognition in adolescence",social cognition
adolescent development,Analyze the important role of play and its relationship to adolescent development,adolescent development
adolescent development,Analyze the important role of play and its relationship to adolescent development,play studies
adolescent development,How does society affect adolescent development?,adolescent development
adolescent development,Can adolescent development change according to culture and upbringing?,adolescent development
adolescent development,Understand adolescence in relation to identity and culture,cultural studies
adolescent development,Understand adolescence in relation to identity and culture,identity studies
adolescent development,Understand adolescence in relation to identity and culture,adolescent development
adolescent development,"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",health psychology
adolescent development,"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",trauma studies
adolescent development,"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",adolescent development
adolescent development,Adolescence: behavioral issues and communication strategies,adolescent psychology
adolescent development,Adolescence: behavioral issues and communication strategies,communication studies
adolescent development,Adolescence: behavioral issues and communication strategies,behavioral science
adolescent development,The impact of social issues on the development of adolescence,social issues
adolescent development,The impact of social issues on the development of adolescence,adolescent development
adolescent development,"Dating, sex, and romance: adolescence and digital media",digital media studies
adolescent development,"Dating, sex, and romance: adolescence and digital media",adolescent psychology
adolescent development,Adolescence: biological and psychosocial perspectives,psychosocial studies
adolescent development,Adolescence: biological and psychosocial perspectives,adolescent biology
adolescent development,Socioemotional development in adolescence,adolescent psychology
adolescent development,Socioemotional development in adolescence,socioemotional development
adolescent development,What social changes happen in adolescence?,social development
adolescent development,How do physical changes affect adolescents?,physical development
adolescent development,Sports participation and social capital formation during adolescence,sports science
adolescent development,Sports participation and social capital formation during adolescence,social capital
adolescent development,The physical and psychological changes that occur during adolescence,physical development
adolescent development,Sexism and aggression in adolescence—how do they relate to perceived academic achievement,adolescent psychology
adolescent development,Sexism and aggression in adolescence—how do they relate to perceived academic achievement,aggression
adolescent development,Understanding sexuality during the adolescence stage of our lives,adolescent psychology
adolescent development,Understanding sexuality during the adolescence stage of our lives,sexuality
adolescent development,"Peer affiliation, social behavior, and callous unemotional traits in adolescence",callous unemotional traits
adolescent development,"Peer affiliation, social behavior, and callous unemotional traits in adolescence",social behavior
adolescent development,The major hormonal changes that occur during adolescence,endocrinology
adolescent development,Personality and optimal experience in adolescence: implications for well-being and development,positive psychology
adolescent development,Personality and optimal experience in adolescence: implications for well-being and development,personality psychology
adolescent development,Personality and optimal experience in adolescence: implications for well-being and development,adolescent development
adolescent development,Gender roles and socialization in adolescence,socialization
adolescent development,Gender roles and socialization in adolescence,gender studies
adolescent development,The middle adolescence stage of development,adolescent development
adolescent development,Adolescence as a critical time for a human,adolescent development
adolescent development,The relationship between divorce and adolescence,divorce studies
adolescent development,Puberty titles,puberty
adolescent development,Moral development essay topics,moral development
adolescent development,Value driven attentional capture of adolescence,attention
adolescent development,Treating non-malignant pain in adolescence with medical marijuana,pain management
adolescent development,Treating non-malignant pain in adolescence with medical marijuana,adolescent medicine
adolescent development,The psychological and physical aspects of drug abuse in today’s adolescence,adolescent health
adolescent development,The psychological and physical aspects of drug abuse in today’s adolescence,psychology
adolescent development,The psychological and physical aspects of drug abuse in today’s adolescence,physical health
adolescent development,Theories of child development as they pertain to middle childhood and adolescence,child development
adolescent development,Theories of child development as they pertain to middle childhood and adolescence,developmental psychology
adolescent development,Theories of child development as they pertain to middle childhood and adolescence,adolescent development
adolescent development,An analysis of the concept of adolescence and the juvenile delinquency,juvenile delinquency
adolescent development,An analysis of the concept of adolescence and the juvenile delinquency,adolescent studies
adolescent development,An analysis of the concept of adolescence and the juvenile delinquency,criminology
adolescent development,Adolescence sexuality defining sexual self the other issue,adolescent sexuality
adolescent development,Working and studying in rural latin america: critical decisions of adolescence,labor studies
adolescent development,Working and studying in rural latin america: critical decisions of adolescence,rural studies
adolescent development,Working and studying in rural latin america: critical decisions of adolescence,latin american studies
adolescent development,Working and studying in rural latin america: critical decisions of adolescence,adolescent studies
adolescent development,Understanding the adolescence and behaviorism in psychology,psychology
adolescent development,Understanding the adolescence and behaviorism in psychology,behaviorism
adolescent development,Pros and cons of internet as the primary source of globalization of adolescence,globalization
adolescent development,Pros and cons of internet as the primary source of globalization of adolescence,internet studies
adolescent gynecology,Genital findings in cases of child sexual abuse: genital vs vaginal penetration,adolescent gynecology
adolescent gynecology,Genital findings in cases of child sexual abuse: genital vs vaginal penetration,forensic medicine
adolescent gynecology,Genital findings in cases of child sexual abuse: genital vs vaginal penetration,child sexual abuse
adolescent learning,Social emotional learning,social emotional learning
adolescent learning,Experiences of learning in mixed gender peer groups,peer learning
adolescent learning,"Transformation of gender norms, beliefs and behaviors",gender studies
adolescent learning,"Novelty, motivational learning and mastery experiences with technology",mastery learning
adolescent learning,"Novelty, motivational learning and mastery experiences with technology",motivational learning
adolescent learning,"Novelty, motivational learning and mastery experiences with technology",educational technology
adolescent learning,"Extending learning, practice and reflection outside the classroom",reflective practice
adolescent learning,"Extending learning, practice and reflection outside the classroom",learning
adolescent learning,"Extending learning, practice and reflection outside the classroom",educational practice
adolescent learning,Development of emotional mindsets and skills,emotional development
adolescent learning,Development of emotional mindsets and skills,mindset theory
adolescent learning,Development of emotional mindsets and skills,emotional skills
adolescent learning,Adolescence,adolescent development
elementary education curriculum,Science and stem,stem
elementary education curriculum,Science and stem,science
elementary education curriculum,Mandarin dual language program,mandarin language
elementary education curriculum,Mandarin dual language program,dual language education
elementary education curriculum,Introducing multiplication,multiplication
elementary education curriculum,Wrapping up addition and subtraction within 1,subtraction
elementary education curriculum,Wrapping up addition and subtraction within 1,addition
elementary education curriculum,"Measuring length, time, liquid volume, and weight",measurement
elementary education curriculum,Two-dimensional shapes and perimeter,geometry
elementary education curriculum,Social studies alive! america’s past,social studies
elementary education curriculum,Social studies alive! america’s past,american history
elementary education curriculum,Begins to identify and name 11-20 upper- and 11-20 lowercase letters when presented in random order,alphabet knowledge
elementary education curriculum,"Uses drawing, dictation, and early invented spelling to convey a message",early literacy
elementary education curriculum,Arc core (american reading company) for k-5 reading comprehension and writing,writing
elementary education curriculum,Arc core (american reading company) for k-5 reading comprehension and writing,reading comprehension
elementary education curriculum,Ufli (university of florida literacy institute) foundations for k-2 phonics,phonics
elementary education curriculum,Heggerty for prek-1 phonemic awareness (adopted spring of 2023),phonemic awareness
elementary education curriculum,Heggerty for prek-1 phonemic awareness (adopted spring of 2023),early literacy
elementary education curriculum,Recognize basic chinese characters and sentence patterns,chinese language
elementary education curriculum,Hear the correct pronunciation of words in mandarin,mandarin language
elementary education curriculum,Hear the correct pronunciation of words in mandarin,phonetics
elementary education curriculum,Understand basic mandarin words,mandarin language
adolescent literacy processes,Adolescent literacy should be critical,critical literacy
adolescent literacy processes,Adolescent literacy should be critical,adolescent literacy
adolescent literacy processes,Attention to composition is sorely needed,composition studies
adolescent literacy processes,Recognize the purpose of text structure and how the writer uses it to create effect.,text structure
adolescent literacy processes,Recognize the purpose of text structure and how the writer uses it to create effect.,rhetoric
adolescent literacy processes,Infer beyond literal interpretations.,literary interpretation
adolescent literacy processes,"Question and investigate various social, political, and historical context.",historical context studies
adolescent literacy processes,"Question and investigate various social, political, and historical context.",political context studies
adolescent literacy processes,"Question and investigate various social, political, and historical context.",social context studies
adolescent literacy processes,Understand multiple meanings and richness of texts and layers of complexity.,literary analysis
adolescent literacy processes,Application of metacognitive strategies.,educational psychology
adolescent literacy processes,Application of metacognitive strategies.,metacognition
adolescent literacy processes,Recognition of bias and high-quality sources.,information literacy
adolescent primary care,Medical clinics in junior high school: changing the model to meet demands,primary care
adolescent primary care,Medical clinics in junior high school: changing the model to meet demands,adolescent medicine
adolescent primary care,Medical clinics in junior high school: changing the model to meet demands,school health services
adolescent primary care,Predicting incentives to change among adolescents with substance abuse disorder,behavioral health
adolescent primary care,Predicting incentives to change among adolescents with substance abuse disorder,substance abuse
adolescent primary care,Predicting incentives to change among adolescents with substance abuse disorder,adolescent medicine
adolescent primary care,Race and gender differences in the treatment of psychiatric disorders in young adolescents,adolescent medicine
adolescent primary care,Race and gender differences in the treatment of psychiatric disorders in young adolescents,psychiatry
adolescent primary care,Race and gender differences in the treatment of psychiatric disorders in young adolescents,gender studies
adolescent primary care,Race and gender differences in the treatment of psychiatric disorders in young adolescents,health disparities
adult behavioral health,Expanding telehealth services,healthcare delivery
adult behavioral health,Expanding telehealth services,telehealth
adult behavioral health,Promoting diversity in the behavioral health workforce,diversity
adult behavioral health,Promoting diversity in the behavioral health workforce,health workforce
adult behavioral health,Traditional workforce development strategies to address shortages and maldistributions,workforce development
adult behavioral health,Traditional workforce development strategies to address shortages and maldistributions,health policy
adult cardiac surgery,Vi: ross procedure deep dive (concurrent session),cardiac surgery
adult cardiac surgery,Vii: mitral / tricuspid master class (concurrent session),cardiac surgery
adult cardiac surgery,Viii: aortic arch (concurrent session),cardiac surgery
adult cardiac surgery,Ix: transcatheter minimally invasive therapies update (concurrent session),minimally invasive surgery
adult cardiac surgery,Ix: transcatheter minimally invasive therapies update (concurrent session),cardiac surgery
adult cardiac surgery,X: perioperative care for aortic surgery (concurrent session),perioperative care
adult cardiac surgery,X: perioperative care for aortic surgery (concurrent session),cardiac surgery
adult cardiac surgery,Xi: descending and thoracoabdominal aorta,vascular surgery
adult cardiac surgery,≥50% stenosis of the left main coronary artery.,coronary artery disease
adult cardiac surgery,Three-vessel ≥70% stenosis with or without proximal left anterior descending involvement.,coronary artery disease
adult cardiac surgery,Two-vessel ≥70% including the left anterior descending with one other major vessel.,coronary artery disease
adult cardiac surgery,Explain mitral and tricuspid valve interventions and treatments: evaluate the evidence,cardiac surgery
adult cardiac surgery,"Evaluate contemporary treatment modalities for aortic dissection, including surgical and non",aortic dissection
adult cardiac surgery,Explain the anatomical challenges and considerations for aortic arch surgery.,aortic arch surgery
adult development,Established adulthood,adult development
adult development,Aging is different from disease,aging
adult development,Self-identity,identity studies
adult development,"Current state (cognitive, emotional, behavioral)",emotional psychology
adult development,"Current state (cognitive, emotional, behavioral)",cognitive psychology
adult learning,Adult learning models and theory,learning theory
adult learning,Adult learning models and theory,adult learning
adult learning,Understanding adult learning,adult learning
adult learning,Foundations of adult and continuing education,adult education
adult learning,Foundations of adult and continuing education,continuing education
adult learning,Contemporary issues in adult and continuing education,adult education
adult learning,Contemporary issues in adult and continuing education,continuing education
adult learning,Distance learning,distance education
adult learning,Teaching practices and administrative leadership,teaching practices
adult learning,Teaching practices and administrative leadership,educational leadership
adult learning,Formal and informal learning contexts,informal learning
adult learning,Formal and informal learning contexts,formal learning
adult learning,Languages of power: literacy’s role in social access,social access
adult learning,Instructional responses to individual differences in literacy learning,literacy education
adult learning,Instructional responses to individual differences in literacy learning,individual differences
adult learning,The visual and the verbal: multiliteracies and multimodal communications,multiliteracies
adult learning,The visual and the verbal: multiliteracies and multimodal communications,multimodal communication
adult learning,Literacy in learning: language in learning across the subject areas,literacy education
adult learning,Literacy in learning: language in learning across the subject areas,language education
adult learning,The changing role of libraries in literacies learning,literacy education
adult learning,The changing role of libraries in literacies learning,library science
literacy learning,Defining new literacies,literacy
literacy learning,Languages of power: literacy’s role in social access,literacy
literacy learning,Instructional responses to individual differences in literacy learning,literacy
literacy learning,The visual and the verbal: multiliteracies and multimodal communications,multiliteracy
literacy learning,The visual and the verbal: multiliteracies and multimodal communications,multimodal communication
literacy learning,Literacy in learning: language in learning across the subject areas,language education
literacy learning,The changing role of libraries in literacies learning,literacy studies
literacy learning,The changing role of libraries in literacies learning,library science
literacy learning,"Early childhood literacies, arts and communications",communication studies
literacy learning,"Early childhood literacies, arts and communications",early childhood literacy
literacy learning,"Early childhood literacies, arts and communications",arts
literacy learning,Influences of family and social/cultural environments on early learning,early childhood education
literacy learning,Influences of family and social/cultural environments on early learning,cultural studies
literacy learning,Influences of family and social/cultural environments on early learning,social environment studies
literacy learning,Influences of family and social/cultural environments on early learning,family studies
literacy learning,"Early childhood education: the roles of daycare, preschool, kindergartens",early childhood education
literacy learning,"Early childhood education: the roles of daycare, preschool, kindergartens",childcare studies
new literacies,Languages of power: literacy’s role in social access,social access
new literacies,Instructional responses to individual differences in literacy learning,learning sciences
new literacies,The visual and the verbal: multiliteracies and multimodal communications,multiliteracies
new literacies,The visual and the verbal: multiliteracies and multimodal communications,multimodal communication
new literacies,Literacy in learning: language in learning across the subject areas,language education
adult literacy processes,"Adolescent, college, and adult literacy processes",adult literacy
adult literacy processes,"Adolescent, college, and adult literacy processes",adolescent literacy
adult literacy processes,"Adolescent, college, and adult literacy processes",college literacy
college literacy processes,Discourses and social practices of literary reading,literary reading
college literacy processes,Discourses and social practices of literary reading,discourse analysis
college literacy processes,Discourses and social practices of literary reading,social practices
college literacy processes,Literature across the curriculum,literature
college literacy processes,Literature across the curriculum,curriculum studies
college literacy processes,Literature and content analyses,literature
college literacy processes,Literature and content analyses,content analysis
college literacy processes,"Literature in schools, libraries, and communities",community studies
college literacy processes,"Literature in schools, libraries, and communities",literature
college literacy processes,"Literature in schools, libraries, and communities",education
college literacy processes,"Literature in schools, libraries, and communities",library science
college literacy processes,Reader response theory,reader response theory
college literacy processes,Identity and literary reading,literary reading
college literacy processes,Identity and literary reading,identity studies
college literacy processes,"Technology, literature, and textual studies",literature
college literacy processes,"Technology, literature, and textual studies",textual studies
college literacy processes,Bilingualism and bi-literacy,bilingualism
college literacy processes,Emergent bilingual/biliteracy,biliteracy
college literacy processes,Esl policies and practices,english as a second language
college literacy processes,Esl policies and practices,language policy
college literacy processes,Second language learning,second language acquisition
college literacy processes,"Translanguaging, linguistic ethnography, language variations",translanguaging
college literacy processes,"Translanguaging, linguistic ethnography, language variations",linguistic ethnography
college literacy processes,"Comprehension, writing, spelling, vocabulary",writing
college literacy processes,"Comprehension, writing, spelling, vocabulary",vocabulary
college literacy processes,"Comprehension, writing, spelling, vocabulary",reading comprehension
college literacy processes,"Comprehension, writing, spelling, vocabulary",spelling
college literacy processes,Digital literacies; technology and literacy,digital literacy
college literacy processes,Digital literacies; technology and literacy,educational technology
college literacy processes,Equity and literacy,educational equity
college literacy processes,Literacy learning and popular culture; popular education,literacy education
college literacy processes,Interdisciplinary literacies; multiliteracies (new literacies studies),literacy studies
college literacy processes,Interdisciplinary literacies; multiliteracies (new literacies studies),multiliteracies
college literacy processes,"Critical literacy, affect, and activism",critical literacy
college literacy processes,"Culture, identity, and intersectionality",intersectionality
college literacy processes,"Culture, identity, and intersectionality",identity studies
college literacy processes,"Culture, identity, and intersectionality",cultural studies
college literacy processes,Digital and popular culture,popular culture
college literacy processes,Digital and popular culture,digital culture
college literacy processes,"Inclusivity, diversity, equity, and activism",equity studies
college literacy processes,"Inclusivity, diversity, equity, and activism",diversity studies
college literacy processes,Power and agency,power studies
college literacy processes,"Race, racism, and anti-racism",racism
college literacy processes,"Race, racism, and anti-racism",race
college literacy processes,"Race, racism, and anti-racism",anti-racism studies
college literacy processes,Social class and critical dis/ability,social class
college literacy processes,Social class and critical dis/ability,critical disability studies
college literacy processes,"Comprehension, metacognition",reading comprehension
college literacy processes,"Comprehension, metacognition",metacognition
college literacy processes,Engagement and critically engaged reading; motivation,critical reading
college literacy processes,Engagement and critically engaged reading; motivation,reading engagement
college literacy processes,Literacy and language development; metalinguistic awareness,language development
adult mental health,Counselling psychology,counselling psychology
adult mental health,Forced hospitalization in psychiatry: necessity or violation of rights?,psychiatry
adult mental health,Is suicide representation in media preventive or harmful?,media studies
adult mental health,"The ""anti-vax"" movement's impact on public mental health.",mental health
adult mental health,The use of electroconvulsive therapy in modern psychiatry.,psychiatry
adult mental health,The use of electroconvulsive therapy in modern psychiatry.,electroconvulsive therapy
adult mental health,Are personality disorders just extreme versions of normal personality traits?,personality psychology
adult mental health,Obsessive-compulsive personality disorder (ocpd),personality disorders
adult mental health,Advanced treatments in mental illness,psychiatry
adult mental health,Psychological resilience,psychological resilience
adult mental health,Neurocognitive psychiatry,neurocognitive psychiatry
adult mental health,Emergency psychiatry,emergency psychiatry
adult mental health,Adult and geriatric psychiatry,geriatric psychiatry
